run number                gated charge              ungated charge           
----------                ------------              --------------           
3211                      7785.682                  9819.898                 
3215                      118307.29832              148327.62465             
3216                      12587.07381               15910.9032               
3218                      99661.49532               124721.16587             
3219                      135371.9739               167212.66305             
3222                      114983.99195              131544.65717             
3249                      158912.9884               196618.13697             
3252                      281931.64218              322552.54672             
3253                      38996.03969               47178.79006              
3254                      60213.53055               74567.6083               
3255                      94780.19461               120601.71485             
3260                      131428.37908              160404.41044             
3261                      115496.52886              128474.0714              
3262                      107168.33044              120774.22068             
3266                      120945.55324              133972.43345             
3267                      108046.8154               123963.4268              
3269                      135963.15889              156713.63911             
3270                      117192.67407              136184.94429             
3278                      204528.85054              239334.56039             
3279                      178963.02963              207686.21932             
3280                      138931.20477              162007.87074             
3281                      152687.91231              175149.54212             
3282                      131363.76495              148110.26531             
3285                      105630.78252              119371.40275             
3288                      175191.3504               200856.68317             
3289                      99409.773                 217539.022               
3290                      139043.88208              160132.6448              
3293                      117484.6045               138612.79004             
3863                      928628.9917               947444.5389              
3864                      876383.5725               894229.192               
3865                      464181.0873               473884.4853              
3867                      323495.22414              345743.76533             
3874                      60017.3988                64500.56294              
3875                      307023.21805              331300.4085              
3876                      69126.76393               74974.58781              
3877                      305302.72866              325771.88946             
3878                      153948.15                 163303.71                
3879                      311158.06436              329099.62433             
3880                      306832.97553              329922.48786             
3881                      138214.07737              169246.49685             
3882                      305846.4604               328711.65256             
3883                      305105.55377              327755.805               
3884                      138643.80728              148916.2436              
3885                      305229.85431              327680.23385             
3888                      305460.19437              328608.49658             
3889                      303205.16394              326726.12576             
3891                      280858.40134              302149.4614              
3892                      136535.58578              146962.17786             
3893                      259109.90956              278523.37288             
3898                      42906.43339               45905.08935              
3899                      50367.01679               54101.98116              
3903                      113211.43888              121570.5065              
3905                      84822.03884               90996.78165              
3907                      302758.69838              325144.82614             
3908                      302147.57783              324846.98453             
3910                      168277.55617              179794.75526             
3911                      64775.75902               69653.6588               
3912                      45043.20586               48569.3398               
3913                      52275.06889               67655.41525              
3915                      96337.33803               103533.55035             
3916                      307727.44335              330618.05249             
3917                      109336.78127              127700.48172             
3919                      43814.03001               46920.5654               
3920                      78527.601                 84306.09959              
3921                      274260.34715              294715.96075             
3923                      323524.16007              348630.86596             
3924                      53249.32952               56996.7103               
3925                      302114.1255               324302.61888             
3926                      37117.07159               39685.5916               
3927                      186125.45007              200598.66988             
3928                      86053.87853               92764.64319              
3929                      285411.02278              306701.42262             
3930                      96266.19082               103546.96711             
3932                      300085.50349              322608.88397             
3933                      286172.028                306551.46845             
3934                      285878.45806              305360.9617              
3936                      61553.08882               65693.48606              
3938                      246620.7581               263744.18783             
3939                      33698.97815               35973.75046              
3940                      293700.23914              313701.38646             
3941                      299086.70572              319696.83392             
3943                      321486.58498              343577.6549              
3944                      301500.19559              322306.6002              
3945                      145495.52704              155505.157               
3946                      295124.20232              315544.3015              
3947                      295448.459                315786.13899             
3948                      289395.43402              309100.15927             
3949                      80368.84426               86133.8704               
3950                      298885.31429              317290.39302             
3951                      48245.04706               50969.01184              
3953                      8078.3064                 8728.19065               
3954                      289928.40324              308684.7328              
3958                      309044.62238              326961.14275             
3959                      264236.33174              280685.27211             
3963                      212003.2375               227214.75502             
3964                      139050.42171              148459.81327             
3965                      319482.5892               341949.11948             
3967                      301995.11976              323084.68012             
3968                      302907.49034              324162.04915             
3969                      61425.8643                65456.14434              
3970                      31902.96509               32843.6722               
3971                      314219.43011              328439.4885              
3973                      304665.39242              325993.7805              
3975                      281872.69975              304388.54036             
3982                      228043.5358               242624.149               
3985                      299508.70786              319052.93745             
3986                      223418.38779              236858.54765             
3987                      145502.7282               154644.50458             
