run number                gated charge              ungated charge           
----------                ------------              --------------           
6616                      30926.30292               31008.61069              
6618                      126661.75883              127278.34236             
6619                      564261.04624              586085.39032             
6620                      648283.63979              673115.2194              
6631                      438137.06321              454370.97158             
6632                      204501.7068               212688.73407             
6636                      624245.98755              648822.14384             
6637                      269497.46674              279953.54686             
6638                      153093.17419              158364.53419             
6639                      175334.08273              181275.35273             
6640                      558521.82148              579781.7086              
6642                      223255.71834              230997.3221              
6645                      393555.05985              409063.8756              
6647                      562116.28636              583976.87213             
6648                      162030.71326              168275.3219              
6650                      27481.41544               27817.80558              
6651                      380874.76984              394817.6355              
6652                      83122.56631               86018.76923              
6654                      105761.9126               109814.15378             
6655                      488910.93853              507690.87853             
6656                      628320.72404              653138.69335             
6657                      570351.63594              592388.2022              
6658                      74636.0852                77401.8819               
6660                      540334.55936              560389.3166              
6661                      597645.20009              621320.85986             
6662                      568340.57036              591351.51197             
6663                      393170.99948              406892.87222             
6664                      487221.65143              507203.1227              
6665                      222643.99188              231027.34883             
6666                      277071.71666              287572.6517              
6667                      596578.63867              620186.73867             
6668                      555159.91267              576822.88264             
6669                      298411.0848               310180.94223             
6670                      237931.49592              247218.16592             
6672                      642577.23112              667903.87704             
6673                      275747.34392              286295.92392             
6675                      621309.32906              645347.79118             
6676                      213535.29231              221501.25383             
6677                      556255.48532              577675.72154             
6678                      529750.17698              549097.1006              
6680                      443207.19779              460358.47976             
6682                      235939.90646              244712.08367             
6683                      627174.6757               651705.8025              
6684                      335861.62448              348628.12042             
6685                      582302.13115              604982.41865             
6687                      202701.21976              210342.30592             
6688                      542164.71281              562480.17017             
6689                      620249.3525               644418.24777             
6691                      608274.32                 632516.7734              
6692                      603633.95437              627217.16107             
6693                      217264.83875              225901.01793             
6694                      630170.93298              655414.89418             
6695                      321957.18103              334647.0038              
6696                      61722.543                 63234.672                
6697                      648281.07                 670387.7                 
6698                      502853.23344              521770.01344             
6699                      140384.396                161422.08                
6704                      581080.32488              603023.1084              
6705                      623649.78172              648736.72886             
6706                      587547.26004              610101.9449              
6707                      163560.81212              169420.28953             
6708                      376721.99833              391713.83862             
6709                      445880.38487              463288.23476             
6710                      513748.956                532237.262               
6711                      612672.1865               637384.51041             
6712                      612898.30692              637487.62439             
6713                      509984.55568              530441.82604             
6714                      310648.68438              323064.1593              
6715                      625022.64767              650010.5447              
6716                      565002.10856              587089.61181             
6717                      612624.87653              636943.11233             
6718                      614489.06406              638464.4343              
6719                      232875.88377              242068.2205              
6722                      703003.5757               701656.59494             
6723                      197592.44658              198550.85349             
6724                      1511467.726               1526330.942              
6725                      589445.76065              597093.5667              
6728                      573558.56725              596161.7851              
6729                      458358.8326               475451.94162             
6730                      446129.7945               462081.56751             
6731                      503467.83918              523112.00214             
6732                      203610.43655              211617.66205             
6733                      595153.5599               620377.2845              
6734                      629029.37067              654430.5445              
6736                      595455.01404              618640.217               
6737                      598950.21463              624051.03664             
6738                      571988.46851              594227.99904             
6739                      534910.74545              555442.47251             
6740                      615001.9223               639089.74036             
6741                      651226.75597              676765.555               
6742                      54344.49422               56479.256                
6743                      588325.86494              610809.51068             
6744                      457488.56001              474857.31001             
6746                      631026.24456              655815.54299             
6747                      615421.64827              639399.5827              
6748                      588254.2014               610688.7014              
6749                      124267.14454              129305.87715             
6750                      395073.67066              409565.1506              
6753                      165646.83776              172178.09776             
6754                      92766.235                 95674.775                
6755                      68951.4376                71544.068                
6756                      369073.68032              384117.4972              
6757                      91809.62537               94956.30537              
6759                      324864.9248               337401.7079              
6760                      553831.4976               580568.477               
6762                      630452.80547              654742.65051             
6763                      31261.75761               31987.99022              
6764                      146812.24684              152055.53926             
6765                      573601.2364               597953.2903              
6767                      590636.30457              613736.46207             
6768                      557827.6849               583822.24332             
6769                      237348.91821              246423.80408             
6775                      636532.20153              661487.8587              
6776                      538674.03206              558554.82286             
6777                      637064.12411              661896.90701             
6778                      525070.57449              544432.62885             
6779                      610230.54366              634903.24557             
6780                      602532.46855              626081.3585              
6781                      375785.97269              390009.5464              
6783                      41461.13091               42960.58673              
