tEdges,0.0,1.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-0.13,0.15
Mx2_ep,0,1,-0.25,0.27
Mx2_ep,0,2,-0.13,0.15

Emiss,0,0,-0.17,0.23
Emiss,0,1,-0.36,0.40
Emiss,0,2,-0.36,0.44

PTmiss,0,0,0.00,0.04
PTmiss,0,1,0.00,0.13
PTmiss,0,2,0.00,0.07

Theta_gamma_gamma,0,0,0.00,0.70
Theta_gamma_gamma,0,1,0.00,1.49
Theta_gamma_gamma,0,2,0.00,0.83

DeltaPhi,0,0,0.00,1.82
DeltaPhi,0,1,0.00,8.38
DeltaPhi,0,2,0.00,4.09

Mx2_epg,0,0,-0.01,0.01
Mx2_epg,0,1,-0.03,0.03
Mx2_epg,0,2,-0.015,0.015

Mx2_eg,0,0,0.61,1.25
Mx2_eg,0,1,0.37,1.41
Mx2_eg,0,2,0.30,1.58
