tEdges,0.0,1.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-999,999
Mx2_ep,0,1,-0.22,0.22
Mx2_ep,0,2,-0.14,0.14

Emiss,0,0,-999,999
Emiss,0,1,-0.33,0.39
Emiss,0,2,-0.34,0.42

PTmiss,0,0,-999,999
PTmiss,0,1,0,0.11
PTmiss,0,2,0,0.07

Theta_gamma_gamma,0,0,-999,999
Theta_gamma_gamma,0,1,0,1.45
Theta_gamma_gamma,0,2,0,0.84

DeltaPhi,0,0,-999,999
DeltaPhi,0,1,0,6.73
DeltaPhi,0,2,0,3.71

Mx2_epg,0,0,-999,999
Mx2_epg,0,1,-0.018,0.018
Mx2_epg,0,2,-0.01,0.01

Mx2_eg,0,0,-999,999
Mx2_eg,0,1,0.39,1.39
Mx2_eg,0,2,0.34,1.54
