tEdges,0.2,0.3,0.4,0.5,0.6,0.8,1.0

# var,tbin,cfg,lo,hi

Mx2_ep,0,0,-0.15,0.17
Mx2_ep,0,1,-0.33,0.31
Mx2_ep,0,2,-0.13,0.15
Mx2_ep,1,0,-0.13,0.15
Mx2_ep,1,1,-0.33,0.31
Mx2_ep,1,2,-0.13,0.15
Mx2_ep,2,0,-0.11,0.13
Mx2_ep,2,1,-0.26,0.26
Mx2_ep,2,2,-0.11,0.13
Mx2_ep,3,0,-0.12,0.12
Mx2_ep,3,1,-0.22,0.26
Mx2_ep,3,2,-0.11,0.13
Mx2_ep,4,0,-0.11,0.13
Mx2_ep,4,1,-0.19,0.25
Mx2_ep,4,2,-0.11,0.13
Mx2_ep,5,0,-0.14,0.14
Mx2_ep,5,1,-0.17,0.23
Mx2_ep,5,2,-0.13,0.15

Emiss,0,0,-0.15,0.21
Emiss,0,1,-0.37,0.39
Emiss,0,2,-0.36,0.44
Emiss,1,0,-0.15,0.21
Emiss,1,1,-0.37,0.39
Emiss,1,2,-0.34,0.42
Emiss,2,0,-0.15,0.21
Emiss,2,1,-0.36,0.40
Emiss,2,2,-0.35,0.41
Emiss,3,0,-0.16,0.20
Emiss,3,1,-0.36,0.40
Emiss,3,2,-0.35,0.41
Emiss,4,0,-0.14,0.18
Emiss,4,1,-0.34,0.38
Emiss,4,2,-0.35,0.41
Emiss,5,0,-0.14,0.18
Emiss,5,1,-0.35,0.37
Emiss,5,2,-0.35,0.41

PTmiss,0,0,0,0.04
PTmiss,0,1,0,0.11
PTmiss,0,2,0,0.07
PTmiss,1,0,0,0.04
PTmiss,1,1,0,0.11
PTmiss,1,2,0,0.07
PTmiss,2,0,0,0.04
PTmiss,2,1,0,0.11
PTmiss,2,2,0,0.07
PTmiss,3,0,0,0.04
PTmiss,3,1,0,0.11
PTmiss,3,2,0,0.07
PTmiss,4,0,0,0.04
PTmiss,4,1,0,0.11
PTmiss,4,2,0,0.07
PTmiss,5,0,0,0.04
PTmiss,5,1,0,0.11
PTmiss,5,2,0,0.07

Theta_gamma_gamma,0,0,0,0.45
Theta_gamma_gamma,0,1,0,1.45
Theta_gamma_gamma,0,2,0,0.74
Theta_gamma_gamma,1,0,0,0.51
Theta_gamma_gamma,1,1,0,1.45
Theta_gamma_gamma,1,2,0,0.78
Theta_gamma_gamma,2,0,0,0.6
Theta_gamma_gamma,2,1,0,1.36
Theta_gamma_gamma,2,2,0,0.82
Theta_gamma_gamma,3,0,0,0.70
Theta_gamma_gamma,3,1,0,1.35
Theta_gamma_gamma,3,2,0,0.89
Theta_gamma_gamma,4,0,0,0.83
Theta_gamma_gamma,4,1,0,1.34
Theta_gamma_gamma,4,2,0,0.96
Theta_gamma_gamma,5,0,0,0.96
Theta_gamma_gamma,5,1,0,1.02
Theta_gamma_gamma,5,2,0,1.05

DeltaPhi,0,0,0,2.07
DeltaPhi,0,1,0,11.81
DeltaPhi,0,2,0,4.18
DeltaPhi,1,0,0,1.74
DeltaPhi,1,1,0,10.6
DeltaPhi,1,2,0,3.51
DeltaPhi,2,0,0,1.56
DeltaPhi,2,1,0,8.83
DeltaPhi,2,2,0,3
DeltaPhi,3,0,0,1.42
DeltaPhi,3,1,0,7.54
DeltaPhi,3,2,0,2.75
DeltaPhi,4,0,0,1.3
DeltaPhi,4,1,0,6.12
DeltaPhi,4,2,0,2.52
DeltaPhi,5,0,0,1.17
DeltaPhi,5,1,0,4.3
DeltaPhi,5,2,0,2.31

Mx2_epg,0,0,-0.005,0.005
Mx2_epg,0,1,-0.02,0.02
Mx2_epg,0,2,-0.008,0.008
Mx2_epg,1,0,-0.005,0.005
Mx2_epg,1,1,-0.02,0.02
Mx2_epg,1,2,-0.008,0.008
Mx2_epg,2,0,-0.005,0.005
Mx2_epg,2,1,-0.02,0.02
Mx2_epg,2,2,-0.008,0.008
Mx2_epg,3,0,-0.005,0.005
Mx2_epg,3,1,-0.02,0.02
Mx2_epg,3,2,-0.008,0.008
Mx2_epg,4,0,-0.005,0.005
Mx2_epg,4,1,-0.017,0.017
Mx2_epg,4,2,-0.008,0.008
Mx2_epg,5,0,-0.005,0.005
Mx2_epg,5,1,-0.012,0.012
Mx2_epg,5,2,-0.008,0.008

Mx2_eg,0,0,0.64,1.24
Mx2_eg,0,1,0.39,1.39
Mx2_eg,0,2,0.34,1.54
Mx2_eg,1,0,0.63,1.23
Mx2_eg,1,1,0.39,1.39
Mx2_eg,1,2,0.34,1.54
Mx2_eg,2,0,0.63,1.23
Mx2_eg,2,1,0.39,1.39
Mx2_eg,2,2,0.34,1.54
Mx2_eg,3,0,0.64,1.20
Mx2_eg,3,1,0.39,1.39
Mx2_eg,3,2,0.33,1.53
Mx2_eg,4,0,0.64,1.20
Mx2_eg,4,1,0.39,1.39
Mx2_eg,4,2,0.33,1.53
Mx2_eg,5,0,0.63,1.19
Mx2_eg,5,1,0.37,1.41
Mx2_eg,5,2,0.33,1.53
