tEdges,0.0,1.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-999,999
Mx2_ep,0,1,-999,999
Mx2_ep,0,2,-999,999

Emiss,0,0,-999,999
Emiss,0,1,-999,999
Emiss,0,2,-999,999

PTmiss,0,0,-999,999
PTmiss,0,1,-999,999
PTmiss,0,2,-999,999

Theta_gamma_gamma,0,0,-999,999
Theta_gamma_gamma,0,1,-999,999
Theta_gamma_gamma,0,2,-999,999

DeltaPhi,0,0,-999,999
DeltaPhi,0,1,-999,999
DeltaPhi,0,2,-999,999

Mx2_epg,0,0,-999,999
Mx2_epg,0,1,-999,999
Mx2_epg,0,2,-999,999

Mx2_eg,0,0,-999,999
Mx2_eg,0,1,-999,999
Mx2_eg,0,2,-999,999
