tEdges,0.0,1.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-999,999
Mx2_ep,0,1,-0.23,0.37
Mx2_ep,0,2,-0.19,0.29

Emiss,0,0,-999,999
Emiss,0,1,-0.23,0.69
Emiss,0,2,-0.36,0.72

PTmiss,0,0,-999,999
PTmiss,0,1,0,0.21
PTmiss,0,2,0,0.13

Theta_gamma_gamma,0,0,-999,999
Theta_gamma_gamma,0,1,0,2.49
Theta_gamma_gamma,0,2,0,1.94

DeltaPhi,0,0,-999,999
DeltaPhi,0,1,0,10.07
DeltaPhi,0,2,0,9.14

Mx2_epg,0,0,-999,999
Mx2_epg,0,1,-0.026,0.026
Mx2_epg,0,2,-0.022,0.022

Mx2_eg,0,0,-999,999
Mx2_eg,0,1,0.54,1.82
Mx2_eg,0,2,0.33,2.01
