tEdges,0.2,0.3,0.4,0.5,0.6,0.8,1.0

# var,tbin,cfg,lo,hi

Mx2_ep,0,0,-0.21,0.27
Mx2_ep,0,1,-0.31,0.41
Mx2_ep,0,2,-0.19,0.29
Mx2_ep,1,0,-0.21,0.27
Mx2_ep,1,1,-0.31,0.41
Mx2_ep,1,2,-0.19,0.29
Mx2_ep,2,0,-0.21,0.27
Mx2_ep,2,1,-0.28,0.40
Mx2_ep,2,2,-0.18,0.30
Mx2_ep,3,0,-0.22,0.30
Mx2_ep,3,1,-0.25,0.39
Mx2_ep,3,2,-0.18,0.30
Mx2_ep,4,0,-0.24,0.32
Mx2_ep,4,1,-0.22,0.38
Mx2_ep,4,2,-0.19,0.33
Mx2_ep,5,0,-0.29,0.35
Mx2_ep,5,1,-0.23,0.41
Mx2_ep,5,2,-0.23,0.37

Emiss,0,0,-0.25,0.43
Emiss,0,1,-0.3,0.78
Emiss,0,2,-0.37,0.75
Emiss,1,0,-0.27,0.45
Emiss,1,1,-0.3,0.78
Emiss,1,2,-0.35,0.77
Emiss,2,0,-0.27,0.45
Emiss,2,1,-0.25,0.71
Emiss,2,2,-0.35,0.77
Emiss,3,0,-0.27,0.45
Emiss,3,1,-0.23,0.69
Emiss,3,2,-0.35,0.77
Emiss,4,0,-0.28,0.44
Emiss,4,1,-0.22,0.70
Emiss,4,2,-0.35,0.77
Emiss,5,0,-0.27,0.41
Emiss,5,1,-0.21,0.67
Emiss,5,2,-0.34,0.74

PTmiss,0,0,0,0.07
PTmiss,0,1,0,0.19
PTmiss,0,2,0,0.13
PTmiss,1,0,0,0.07
PTmiss,1,1,0,0.19
PTmiss,1,2,0,0.14
PTmiss,2,0,0,0.1
PTmiss,2,1,0,0.21
PTmiss,2,2,0,0.14
PTmiss,3,0,0,0.1
PTmiss,3,1,0,0.21
PTmiss,3,2,0,0.14
PTmiss,4,0,0,0.1
PTmiss,4,1,0,0.22
PTmiss,4,2,0,0.15
PTmiss,5,0,0,0.11
PTmiss,5,1,0,0.22
PTmiss,5,2,0,0.15

Theta_gamma_gamma,0,0,0,0.83
Theta_gamma_gamma,0,1,0,2.48
Theta_gamma_gamma,0,2,0,1.62
Theta_gamma_gamma,1,0,0,1.08
Theta_gamma_gamma,1,1,0,2.48
Theta_gamma_gamma,1,2,0,1.83
Theta_gamma_gamma,2,0,0,1.36
Theta_gamma_gamma,2,1,0,2.31
Theta_gamma_gamma,2,2,0,1.96
Theta_gamma_gamma,3,0,0,1.58
Theta_gamma_gamma,3,1,0,2.32
Theta_gamma_gamma,3,2,0,2.08
Theta_gamma_gamma,4,0,0,1.86
Theta_gamma_gamma,4,1,0,2.35
Theta_gamma_gamma,4,2,0,2.19
Theta_gamma_gamma,5,0,0,2.07
Theta_gamma_gamma,5,1,0,2.35
Theta_gamma_gamma,5,2,0,2.38

DeltaPhi,0,0,0,3.93
DeltaPhi,0,1,0,15.35
DeltaPhi,0,2,0,10.06
DeltaPhi,1,0,0,3.53
DeltaPhi,1,1,0,13.85
DeltaPhi,1,2,0,9.17
DeltaPhi,2,0,0,3.4
DeltaPhi,2,1,0,11.5
DeltaPhi,2,2,0,8.3
DeltaPhi,3,0,0,3.19
DeltaPhi,3,1,0,10.47
DeltaPhi,3,2,0,7.87
DeltaPhi,4,0,0,2.97
DeltaPhi,4,1,0,9.34
DeltaPhi,4,2,0,7.13
DeltaPhi,5,0,0,2.78
DeltaPhi,5,1,0,8.55
DeltaPhi,5,2,0,6.66

Mx2_epg,0,0,-0.016,0.016
Mx2_epg,0,1,-0.026,0.026
Mx2_epg,0,2,-0.02,0.02
Mx2_epg,1,0,-0.016,0.016
Mx2_epg,1,1,-0.026,0.026
Mx2_epg,1,2,-0.02,0.02
Mx2_epg,2,0,-0.018,0.018
Mx2_epg,2,1,-0.028,0.028
Mx2_epg,2,2,-0.02,0.02
Mx2_epg,3,0,-0.02,0.02
Mx2_epg,3,1,-0.028,0.028
Mx2_epg,3,2,-0.022,0.022
Mx2_epg,4,0,-0.02,0.02
Mx2_epg,4,1,-0.026,0.026
Mx2_epg,4,2,-0.024,0.024
Mx2_epg,5,0,-0.022,0.022
Mx2_epg,5,1,-0.026,0.026
Mx2_epg,5,2,-0.026,0.026

Mx2_eg,0,0,0.46,1.62
Mx2_eg,0,1,0.48,1.92
Mx2_eg,0,2,0.31,2.07
Mx2_eg,1,0,0.42,1.66
Mx2_eg,1,1,0.48,1.92
Mx2_eg,1,2,0.33,2.09
Mx2_eg,2,0,0.42,1.66
Mx2_eg,2,1,0.50,1.86
Mx2_eg,2,2,0.32,2.08
Mx2_eg,3,0,0.42,1.66
Mx2_eg,3,1,0.55,1.83
Mx2_eg,3,2,0.33,2.09
Mx2_eg,4,0,0.42,1.62
Mx2_eg,4,1,0.56,1.84
Mx2_eg,4,2,0.35,2.07
Mx2_eg,5,0,0.42,1.62
Mx2_eg,5,1,0.60,1.84
Mx2_eg,5,2,0.33,2.09
